limitation_id,work,limitation,evidence_source,thesis_section,status,notes
LIM-FSM-003,FedSubMerge,原始结果为点估计，未报告多随机种子区间或统计检验,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Discussion limitations
LIM-FSM-004,FedSubMerge,理论为局部旧任务损失机制，受模型漂移、截断和有效投影条件限制,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Appendix theory
LIM-FSM-005,FedSubMerge,未投影参数、动量和解耦权重衰减可能引入残差,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Appendix theory
LIM-FSM-006,FedSubMerge,最终能量截断后的统一和自适应子空间不保证嵌套,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Appendix theory
LIM-FSM-007,FedSubMerge,PGS 交换无形式化隐私保证，也未评估威胁模型,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Discussion privacy boundary
LIM-FSM-008,FedSubMerge,计算、存储和通信随逐层秩、层维度和客户端数变化,sources/fedsubmerge/ Subspace Merging for Replay-Free Federated Continual Medical Image Classification 720/FedSubMerge_final.tex,4.5/4.7,confirmed,Appendix communication
LIM-ZS-002,ZScribbleSeg,不同数据集的涂鸦来源不统一且部分跨论文比较不完全同条件,sources/zscribble/Zscribble_MEDIA_arxiv/main_clean_new.tex,5.3.1,confirmed,不得作严格统一排名
LIM-ZS-003,ZScribbleSeg,原始论文 Table 9 前列腺两类 Dice 的表内平均为 0.706 而相邻正文写为 0.726,sources/zscribble/Zscribble_MEDIA_arxiv/main_clean_new.tex,5.3.1,confirmed,正文和账本采用表格与算术一致的 0.706
LIM-ZS-004,ZScribbleSeg,前列腺输入通道在材料段与效率表之间不一致,sources/zscribble/Zscribble_MEDIA_arxiv/main_clean_new.tex,5.3.1,open,不声明具体通道数
LIM-SCR-001,ScribbleCL,核心结果仍在运行且未形成完整日志矩阵,experiments/scribblecl/reports/core_results.md,5.3.2,blocked_by_experiments,禁止写入数值或方向性结论
LIM-SAM-002,SAMCL,Algorithm 1 的元更新印刷形式尚未与最终代码核对,sources/samcl/MICCAI 2024: Toward Universal Medical Image Registration/Paper-0150.tex,5.4.2,open,不重写完整伪代码
LIM-SAM-003,SAMCL,单一任务顺序、有限数据集、有限记忆和单一主要骨干限制结论外推,sources/samcl/MICCAI 2024: Toward Universal Medical Image Registration/Paper-0150.tex,5.4.3/5.5,confirmed,
LIM-SAM-004,SAMCL,原始结果未报告多随机种子训练均值和标准差,sources/samcl/MICCAI 2024: Toward Universal Medical Image Registration/Paper-0150.tex,5.4.3,confirmed,点估计和配对检验不等于多种子统计
LIM-SAM-005,SAMCL,保存历史固定--移动原始图像对且未给出形式化隐私保证,sources/samcl/MICCAI 2024: Toward Universal Medical Image Registration/Paper-0150.tex,5.4/5.5,confirmed,
