slice_id,active_gt_pixels,scribble_pixels,category
503,0,0,A_true_negative
504,0,0,A_true_negative
505,0,0,A_true_negative
506,0,0,A_true_negative
507,0,0,A_true_negative
508,0,0,A_true_negative
509,0,0,A_true_negative
510,0,0,A_true_negative
511,0,0,A_true_negative
512,0,0,A_true_negative
513,0,0,A_true_negative
514,0,0,A_true_negative
515,0,0,A_true_negative
600,0,0,A_true_negative
601,0,0,A_true_negative
602,0,0,A_true_negative
603,0,0,A_true_negative
604,0,0,A_true_negative
605,0,0,A_true_negative
606,0,0,A_true_negative
683,0,0,A_true_negative
684,0,0,A_true_negative
685,0,0,A_true_negative
686,0,0,A_true_negative
687,0,0,A_true_negative
688,0,0,A_true_negative
689,0,0,A_true_negative
690,0,0,A_true_negative
691,0,0,A_true_negative
692,0,0,A_true_negative
693,0,0,A_true_negative
694,0,0,A_true_negative
695,0,0,A_true_negative
696,0,0,A_true_negative
697,0,0,A_true_negative
698,0,0,A_true_negative
699,0,0,A_true_negative
700,0,0,A_true_negative
701,0,0,A_true_negative
702,0,0,A_true_negative
703,0,0,A_true_negative
704,0,0,A_true_negative
705,0,0,A_true_negative
706,0,0,A_true_negative
707,0,0,A_true_negative
708,0,0,A_true_negative
709,0,0,A_true_negative
790,0,0,A_true_negative
791,0,0,A_true_negative
792,0,0,A_true_negative
793,0,0,A_true_negative
794,0,0,A_true_negative
795,0,0,A_true_negative
796,0,0,A_true_negative
797,0,0,A_true_negative
798,0,0,A_true_negative
799,0,0,A_true_negative
800,0,0,A_true_negative
889,0,0,A_true_negative
890,0,0,A_true_negative
891,0,0,A_true_negative
892,0,0,A_true_negative
893,0,0,A_true_negative
894,0,0,A_true_negative
895,0,0,A_true_negative
896,0,0,A_true_negative
897,0,0,A_true_negative
898,0,0,A_true_negative
899,0,0,A_true_negative
995,0,0,A_true_negative
996,0,0,A_true_negative
997,0,0,A_true_negative
998,0,0,A_true_negative
999,0,0,A_true_negative
1075,0,0,A_true_negative
1076,0,0,A_true_negative
1077,0,0,A_true_negative
1078,0,0,A_true_negative
1079,0,0,A_true_negative
1080,0,0,A_true_negative
1081,0,0,A_true_negative
1082,0,0,A_true_negative
1083,0,0,A_true_negative
1084,0,0,A_true_negative
1085,0,0,A_true_negative
1086,0,0,A_true_negative
1087,0,0,A_true_negative
1088,0,0,A_true_negative
1089,0,0,A_true_negative
1090,0,0,A_true_negative
1091,0,0,A_true_negative
1092,0,0,A_true_negative
1093,0,0,A_true_negative
1094,0,0,A_true_negative
1095,0,0,A_true_negative
1096,0,0,A_true_negative
1097,0,0,A_true_negative
1098,0,0,A_true_negative
1099,0,0,A_true_negative
1100,0,0,A_true_negative
1101,0,0,A_true_negative
1102,0,0,A_true_negative
1103,0,0,A_true_negative
1198,0,0,A_true_negative
1199,0,0,A_true_negative
1278,0,0,A_true_negative
1279,0,0,A_true_negative
1280,0,0,A_true_negative
1281,0,0,A_true_negative
1282,0,0,A_true_negative
1283,0,0,A_true_negative
1284,0,0,A_true_negative
1285,0,0,A_true_negative
1286,0,0,A_true_negative
1287,0,0,A_true_negative
1288,0,0,A_true_negative
1289,0,0,A_true_negative
1290,0,0,A_true_negative
1291,0,0,A_true_negative
1292,0,0,A_true_negative
1293,0,0,A_true_negative
1294,0,0,A_true_negative
1295,0,0,A_true_negative
1296,0,0,A_true_negative
1297,0,0,A_true_negative
1298,0,0,A_true_negative
1299,0,0,A_true_negative
1300,0,0,A_true_negative
1301,0,0,A_true_negative
1302,0,0,A_true_negative
1303,0,0,A_true_negative
1304,0,0,A_true_negative
1305,0,0,A_true_negative
1306,0,0,A_true_negative
1307,0,0,A_true_negative
1308,0,0,A_true_negative
1309,0,0,A_true_negative
1310,0,0,A_true_negative
1311,0,0,A_true_negative
1312,0,0,A_true_negative
1313,0,0,A_true_negative
1314,0,0,A_true_negative
1315,0,0,A_true_negative
1316,0,0,A_true_negative
1387,0,0,A_true_negative
1388,0,0,A_true_negative
1389,0,0,A_true_negative
1390,0,0,A_true_negative
1391,0,0,A_true_negative
1392,0,0,A_true_negative
1393,0,0,A_true_negative
1394,0,0,A_true_negative
1395,0,0,A_true_negative
1396,0,0,A_true_negative
1397,0,0,A_true_negative
1398,0,0,A_true_negative
1399,0,0,A_true_negative
1400,0,0,A_true_negative
1401,0,0,A_true_negative
1402,0,0,A_true_negative
1403,0,0,A_true_negative
1404,0,0,A_true_negative
1405,0,0,A_true_negative
1476,0,0,A_true_negative
1477,0,0,A_true_negative
1478,0,0,A_true_negative
1479,0,0,A_true_negative
1480,0,0,A_true_negative
1481,0,0,A_true_negative
1482,0,0,A_true_negative
1483,0,0,A_true_negative
1484,0,0,A_true_negative
1485,0,0,A_true_negative
1486,0,0,A_true_negative
1487,0,0,A_true_negative
1488,0,0,A_true_negative
1489,0,0,A_true_negative
1490,0,0,A_true_negative
1491,0,0,A_true_negative
1492,0,0,A_true_negative
1493,0,0,A_true_negative
1494,0,0,A_true_negative
1495,0,0,A_true_negative
1496,0,0,A_true_negative
1497,0,0,A_true_negative
1498,0,0,A_true_negative
1499,0,0,A_true_negative
